datetime,season,mask_shed,mask_up,Q_shed_kW,Q_up_kW,P_IT_kW,P_Cool_kW,P_Other_kW
2024-07-27 14:00:00,Summer,False,False,0.0,0.0,2383.1626795733723,577.7915873337586,635.2057330928689
2024-07-27 14:15:00,Summer,False,False,0.0,0.0,2396.3358522610597,582.2272507268132,638.7168970121273
2024-07-27 14:30:00,Summer,False,False,0.0,0.0,2406.7004961639864,586.3800252825438,641.4794785534696
2024-07-27 14:45:00,Summer,False,False,0.0,0.0,2421.8320747780526,590.2552912448954,645.5126339770519
2024-07-27 15:00:00,Summer,False,False,0.0,0.0,2409.8915819194053,593.8583908071375,642.330027273457
2024-07-27 15:15:00,Summer,False,False,0.0,0.0,2407.5188657802914,594.943528269179,641.6976059505296
2024-07-27 15:30:00,Summer,False,False,0.0,0.0,2414.3461654177686,595.8964871980018,643.5173473842301
2024-07-27 15:45:00,Summer,False,False,0.0,0.0,2418.244157344537,596.7195285063306,644.5563141491327
2024-07-27 16:00:00,Summer,False,False,0.0,0.0,2404.0516486138295,597.4148939383393,640.7734574478311
2024-07-27 16:15:00,Summer,False,False,0.0,0.0,2395.6211180350106,598.4924894794369,638.526392485552
2024-07-27 16:30:00,Summer,False,False,0.0,0.0,2405.4950713975477,599.4267427282515,641.1581858742005
2024-07-27 16:45:00,Summer,False,False,0.0,0.0,2386.68204098254,600.2141789489941,636.1437800684657
2024-07-27 17:00:00,Summer,False,False,0.0,0.0,2381.631190519271,600.851277907493,634.797531573236
2024-07-27 17:15:00,Summer,False,False,0.0,0.0,2377.9916829596764,595.8608560742283,633.8274609660951
2024-07-27 17:30:00,Summer,False,False,0.0,0.0,2386.7030479178097,590.5875728467724,636.1493792354182
2024-07-27 17:45:00,Summer,False,False,0.0,0.0,2406.2382327865216,585.045499865891,641.356267347587
2024-07-27 18:00:00,Summer,False,False,0.0,0.0,2388.0762890499977,579.2483094335369,636.5154015164658
2024-07-27 18:15:00,Summer,False,False,0.0,0.0,2408.1090098928803,580.7560877509017,641.8549023562178
2024-07-27 18:30:00,Summer,False,False,0.0,0.0,2388.526665207606,582.5178904774176,636.6354443149761
2024-07-27 18:45:00,Summer,False,False,0.0,0.0,2396.30905893395,584.1811855198133,638.7097555462365
2024-07-27 19:00:00,Summer,False,False,0.0,0.0,2412.025445028294,585.3957700166944,642.8987849550116
2024-07-27 19:15:00,Summer,False,False,0.0,0.0,2377.3648925298535,583.2147105814995,633.6603968886473
2024-07-27 19:30:00,Summer,False,False,0.0,0.0,2382.1197888404336,581.0324490916005,634.9277620679655
2024-07-27 19:45:00,Summer,False,False,0.0,0.0,2406.5828380296425,578.8490438951802,641.4481180751771
2024-07-27 20:00:00,Summer,False,False,0.0,0.0,2421.9510907970634,576.6645528184075,645.544356384529
2024-07-27 20:15:00,Summer,False,False,0.0,0.0,2368.631193525782,576.9962807485614,631.3325257256568
2024-07-27 20:30:00,Summer,False,False,0.0,0.0,2388.1008339330574,577.2972223825539,636.5219436843888
2024-07-27 20:45:00,Summer,False,False,0.0,0.0,2392.435144782452,577.5676487707216,637.6772064468264
2024-07-27 21:00:00,Summer,False,False,0.0,0.0,2383.14985532467,577.8078297445396,635.2023149307903
2024-07-27 21:15:00,Summer,False,False,0.0,0.0,2374.6045564767855,577.110783771272,632.9246597519422
2024-07-27 21:30:00,Summer,False,False,0.0,0.0,2390.5886266790135,576.066335913067,637.1850374079197
2024-07-27 21:45:00,Summer,False,False,0.0,0.0,2382.3165594115076,575.0232314945976,634.9802090938953
2024-07-27 22:00:00,Summer,False,False,0.0,0.0,2364.673721060785,574.328573860034,630.2777050791815
2024-07-27 22:15:00,Summer,False,False,0.0,0.0,2355.0295980649626,575.0232314945976,627.7071704404402
2024-07-27 22:30:00,Summer,False,False,0.0,0.0,2367.8494922235595,576.066335913067,631.1241718633737
2024-07-27 22:45:00,Summer,False,False,0.0,0.0,2371.5726718827254,577.110783771272,632.1165443460027
2024-07-27 23:00:00,Summer,False,False,0.0,0.0,2367.9904323543674,577.8078297445396,631.161737901093
2024-07-27 23:15:00,Summer,False,False,0.0,0.0,2392.795864041149,577.110783771272,637.7733521875789
2024-07-27 23:30:00,Summer,False,False,0.0,0.0,2358.7538384413774,576.066335913067,628.6998256455553
2024-07-27 23:45:00,Summer,False,False,0.0,0.0,2391.4122131936892,575.0232314945976,637.4045553117136
2024-07-28 00:00:00,Summer,False,False,0.0,0.0,2380.5911151796026,574.328573860034,634.5203109603635
2024-07-28 00:15:00,Summer,False,False,0.0,0.0,2371.5582439816385,571.3690572702967,632.1126987480646
2024-07-28 00:30:00,Summer,False,False,0.0,0.0,2360.2422293556033,568.421230813149,629.0965398312477
2024-07-28 00:45:00,Summer,False,False,0.0,0.0,2333.757600224481,565.4850457930272,622.0373539824919
2024-07-28 01:00:00,Summer,False,False,0.0,0.0,2255.7217797366957,562.5604537304282,601.2377665328761
2024-07-28 01:15:00,Summer,False,False,0.0,0.0,2474.262311564233,562.2503529918556,659.4873354439112
2024-07-28 01:30:00,Summer,False,False,0.0,0.0,2501.535410158521,562.2679107078623,666.7566791336168
2024-07-28 01:45:00,Summer,False,False,0.0,0.0,2475.7610487008556,562.2721439980486,659.8868073010957
2024-07-28 02:00:00,Summer,False,False,0.0,0.0,2485.1345762218652,561.9202060782511,662.3852176998835
2024-07-28 02:15:00,Summer,False,False,0.0,0.0,2462.222148927663,560.2196882122668,656.2781628600702
2024-07-28 02:30:00,Summer,False,False,0.0,0.0,2446.6242464241054,558.8550396299942,652.1207139459001
2024-07-28 02:45:00,Summer,False,False,0.0,0.0,2452.2550072128174,557.4834616434803,653.6215311437023
2024-07-28 03:00:00,Summer,False,False,0.0,0.0,2442.998947402886,555.7666221291281,651.1544304679854
2024-07-28 03:15:00,Summer,False,False,0.0,0.0,2466.271982419771,555.090416260372,657.3576013198565
2024-07-28 03:30:00,Summer,False,False,0.0,0.0,2461.0082125842264,554.0771859019641,655.9546015138096
2024-07-28 03:45:00,Summer,False,False,0.0,0.0,2484.5463260313522,553.065247870408,662.2284260982402
2024-07-28 04:00:00,Summer,False,False,0.0,0.0,2459.307393567277,552.3913394729409,655.5012669597821
2024-07-28 04:15:00,Summer,False,False,0.0,0.0,2464.794904276379,551.2011932951375,656.9639024284837
2024-07-28 04:30:00,Summer,False,False,0.0,0.0,2459.6706502428824,550.0112607360861,655.5980890210315
2024-07-28 04:45:00,Summer,False,False,0.0,0.0,2456.062169888436,548.8215417382779,654.6362883732857
2024-07-28 05:00:00,Summer,False,False,0.0,0.0,2458.5172901495207,547.6320362442258,655.2906736062537
2024-07-28 05:15:00,Summer,False,False,0.0,0.0,2447.3287612101153,546.4427441964623,652.3084945934227
2024-07-28 05:30:00,Summer,False,False,0.0,0.0,2477.0705058086664,545.2536655375412,660.2358286537923
2024-07-28 05:45:00,Summer,False,False,0.0,0.0,2462.849755356821,544.0648002100364,656.4454444331428
2024-07-28 06:00:00,Summer,False,False,0.0,0.0,2475.9157978603243,542.8761481565434,659.9280539831321
2024-07-28 06:15:00,Summer,False,False,0.0,0.0,2445.077341495911,545.4542550090704,651.7084034950186
2024-07-28 06:30:00,Summer,False,False,0.0,0.0,2465.7913577219138,548.0191461715926,657.2294961064936
2024-07-28 06:45:00,Summer,False,False,0.0,0.0,2441.0377903625526,550.5705039528741,650.6317056845735
2024-07-28 07:00:00,Summer,False,False,0.0,0.0,2460.2574886251687,553.1080070540713,655.7545043207599
2024-07-28 07:15:00,Summer,False,False,0.0,0.0,2450.9405528715897,557.2282692948673,653.271177833543
2024-07-28 07:30:00,Summer,False,False,0.0,0.0,2441.9598395593007,560.9226927101741,650.8774677305255
2024-07-28 07:45:00,Summer,False,False,0.0,0.0,2481.843112287135,564.1689734297934,661.5079142830713
2024-07-28 08:00:00,Summer,False,False,0.0,0.0,2467.5244160220923,566.9441602919444,657.6914236859633
2024-07-28 08:15:00,Summer,False,False,0.0,0.0,2470.4340424911948,563.2590049719689,658.4669525368361
2024-07-28 08:30:00,Summer,False,False,0.0,0.0,2464.30000632266,559.5080008411772,656.8319928361623
2024-07-28 08:45:00,Summer,False,False,0.0,0.0,2490.053091601996,555.6907146600414,663.6961937379624
2024-07-28 09:00:00,Summer,False,False,0.0,0.0,2491.6037754071626,551.8067131860063,664.1095114068311
2024-07-28 09:15:00,Summer,False,False,0.0,0.0,2492.244551004538,552.9151459189866,664.2803030764755
2024-07-28 09:30:00,Summer,False,False,0.0,0.0,2494.655170222165,553.702002730812,664.9228270470231
2024-07-28 09:45:00,Summer,False,False,0.0,0.0,2478.8790406632197,554.4830856602304,660.7178736765501
2024-07-28 10:00:00,Summer,False,False,0.0,0.0,2497.724658452803,555.5743762595604,665.7409652876369
2024-07-28 10:15:00,Summer,False,False,0.0,0.0,2491.3519247902505,552.1256918076983,664.0423834020512
2024-07-28 10:30:00,Summer,False,False,0.0,0.0,2512.0852251217198,548.9061588990876,669.5686159791925
2024-07-28 10:45:00,Summer,False,False,0.0,0.0,2502.5689096210403,545.5989433600122,667.0321470189474
2024-07-28 11:00:00,Summer,False,False,0.0,0.0,2502.4584615726308,541.8988301178141,667.002708309555
2024-07-28 11:15:00,Summer,False,False,0.0,0.0,2508.2450169437107,548.0099322209493,668.5450508353399
2024-07-28 11:30:00,Summer,False,False,0.0,0.0,2479.126444966106,554.1697384685377,660.7838165653559
2024-07-28 11:45:00,Summer,False,False,0.0,0.0,2492.41541641872,560.3787382127887,664.3258453684919
2024-07-28 12:00:00,Summer,False,False,0.0,0.0,2460.186887830491,566.6374257120551,655.7356864574539
